approve_cutoff,decline_cutoff,approved_accounts,review_accounts,declined_accounts,approval_rate,review_rate,decline_rate,historical_approved_bad_rate,historical_review_bad_rate,historical_declined_bad_rate,historical_bad_capture_rate,historical_good_route_out_rate,approved_ead,review_ead,declined_ead,approved_expected_loss_proxy,review_expected_loss_proxy,declined_expected_loss_proxy,approved_el_rate,review_el_rate,declined_el_rate,route_ead_total,route_el_total,route_share_total,frontier_type
0.03349045168371278,0.08515207601719335,16733,25099,41832,0.20000239051443872,0.2999976094855613,0.5,0.021394848502958225,0.0659388820271724,0.29109294320137696,0.9747709654686398,0.7643003137864525,234135125.0,320182525.0,653603925.0,3309028.103287874,12051846.090292448,125062001.8381026,0.014132984545944884,0.037640549215771375,0.19134218301718828,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.03349045168371278,0.11547320448209,16733,33465,33466,0.20000239051443872,0.3999928284566839,0.40000478102887743,0.021394848502958225,0.07536231884057971,0.3379549393414211,0.9747709654686398,0.7643003137864525,234135125.0,430341350.0,543445100.0,3309028.103287874,19375623.781560764,117738224.14683427,0.014132984545944884,0.04502384858336472,0.21665155164125,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.03349045168371278,0.16256682009957604,16733,41832,25099,0.20000239051443872,0.5,0.2999976094855613,0.021394848502958225,0.09122203098106713,0.39905972349495994,0.9747709654686398,0.7643003137864525,234135125.0,548229550.0,425556900.0,3309028.103287874,30184022.241026387,106929825.68736866,0.014132984545944884,0.05505726978968278,0.2512703370274778,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.03349045168371278,0.24170213662124707,16733,50198,16733,0.20000239051443872,0.5999952189711226,0.20000239051443872,0.021394848502958225,0.11193673054703375,0.49082651048825676,0.9747709654686398,0.7643003137864525,234135125.0,674312775.0,299473675.0,3309028.103287874,46914965.63203,90198882.29636504,0.014132984545944884,0.06957448734681024,0.30119135612292147,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.03349045168371278,0.40001016517331023,16733,58564,8367,0.20000239051443872,0.6999904379422451,0.10000717154331612,0.021394848502958225,0.14674544088518543,0.6260308354248835,0.9747709654686398,0.7643003137864525,234135125.0,814641000.0,159145450.0,3309028.103287874,76123867.24029225,60989980.68810278,0.014132984545944884,0.09344467960769498,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.04713356750200815,0.06360944048234443,25099,8367,50198,0.2999976094855613,0.10000717154331612,0.5999952189711226,0.02904498187178772,0.06489781283614199,0.2573409299175266,0.9486257928118393,0.6492212914183724,341217075.0,105493950.0,761210550.0,6172256.197696524,3871360.6386530893,130379259.1953333,0.01808894293375126,0.03669746595565992,0.17127883894322446,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.04713356750200815,0.08515207601719335,25099,16733,41832,0.2999976094855613,0.20000239051443872,0.5,0.02904498187178772,0.07673459630669933,0.29109294320137696,0.9486257928118393,0.6492212914183724,341217075.0,213100575.0,653603925.0,6172256.197696524,9188617.995883796,125062001.8381026,0.01808894293375126,0.043118691706410445,0.19134218301718828,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.04713356750200815,0.11547320448209,25099,25099,33466,0.2999976094855613,0.2999976094855613,0.40000478102887743,0.02904498187178772,0.0857006255229292,0.3379549393414211,0.9486257928118393,0.6492212914183724,341217075.0,323259400.0,543445100.0,6172256.197696524,16512395.687152114,117738224.14683427,0.01808894293375126,0.05108094517020113,0.21665155164125,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.04713356750200815,0.16256682009957604,25099,33466,25099,0.2999976094855613,0.40000478102887743,0.2999976094855613,0.02904498187178772,0.10294029761549035,0.39905972349495994,0.9486257928118393,0.6492212914183724,341217075.0,441147600.0,425556900.0,6172256.197696524,27320794.146617733,106929825.68736866,0.01808894293375126,0.06193118617582354,0.2512703370274778,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.04713356750200815,0.24170213662124707,25099,41832,16733,0.2999976094855613,0.5,0.20000239051443872,0.02904498187178772,0.12545419774335437,0.49082651048825676,0.9486257928118393,0.6492212914183724,341217075.0,567230825.0,299473675.0,6172256.197696524,44051737.53762135,90198882.29636504,0.01808894293375126,0.07766104308174956,0.30119135612292147,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.04713356750200815,0.40001016517331023,25099,50198,8367,0.2999976094855613,0.5999952189711226,0.10000717154331612,0.02904498187178772,0.16381130722339535,0.6260308354248835,0.9486257928118393,0.6492212914183724,341217075.0,707559050.0,159145450.0,6172256.197696524,73260639.1458836,60989980.68810278,0.01808894293375126,0.10353996482114618,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.06360944048234443,0.08515207601719335,33466,8366,41832,0.40000478102887743,0.09999521897112258,0.5,0.03800872527341182,0.08857279464499163,0.29109294320137696,0.9103594080338266,0.5366036214986901,446711025.0,107606625.0,653603925.0,10043616.836349614,5317257.357230708,125062001.8381026,0.022483476507770574,0.049413847495269995,0.19134218301718828,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.06360944048234443,0.11547320448209,33466,16732,33466,0.40000478102887743,0.19999043794224516,0.40000478102887743,0.03800872527341182,0.09610327516136744,0.3379549393414211,0.9103594080338266,0.5366036214986901,446711025.0,217765450.0,543445100.0,10043616.836349614,12641035.048499025,117738224.14683427,0.022483476507770574,0.05804885508008284,0.21665155164125,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.06360944048234443,0.16256682009957604,33466,25099,25099,0.40000478102887743,0.2999976094855613,0.2999976094855613,0.03800872527341182,0.11562213634009323,0.39905972349495994,0.9103594080338266,0.5366036214986901,446711025.0,335653650.0,425556900.0,10043616.836349614,23449433.50796465,106929825.68736866,0.022483476507770574,0.06986199467208132,0.2512703370274778,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.06360944048234443,0.24170213662124707,33466,33465,16733,0.40000478102887743,0.3999928284566839,0.20000239051443872,0.03800872527341182,0.14059465112804423,0.49082651048825676,0.9103594080338266,0.5366036214986901,446711025.0,461736875.0,299473675.0,10043616.836349614,40180376.898968264,90198882.29636504,0.022483476507770574,0.0870200737139919,0.30119135612292147,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.06360944048234443,0.40001016517331023,33466,41831,8367,0.40000478102887743,0.49998804742780645,0.10000717154331612,0.03800872527341182,0.183595897779159,0.6260308354248835,0.9103594080338266,0.5366036214986901,446711025.0,602065100.0,159145450.0,10043616.836349614,69389278.50723052,60989980.68810278,0.022483476507770574,0.11525211892738928,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.08515207601719335,0.11547320448209,41832,8366,33466,0.5,0.09999521897112258,0.40000478102887743,0.04812105565117613,0.10363375567774324,0.3379549393414211,0.858139534883721,0.42685033249848864,554317650.0,110158825.0,543445100.0,15360874.193580322,7323777.691268316,117738224.14683427,0.02771132074466747,0.0664838036468555,0.21665155164125,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.08515207601719335,0.16256682009957604,41832,16733,25099,0.5,0.20000239051443872,0.2999976094855613,0.04812105565117613,0.12914599892428136,0.39905972349495994,0.858139534883721,0.42685033249848864,554317650.0,228047025.0,425556900.0,15360874.193580322,18132176.15073394,106929825.68736866,0.02771132074466747,0.07951068930074374,0.2512703370274778,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.08515207601719335,0.24170213662124707,41832,25099,16733,0.5,0.2999976094855613,0.20000239051443872,0.04812105565117613,0.1579345790668951,0.49082651048825676,0.858139534883721,0.42685033249848864,554317650.0,354130250.0,299473675.0,15360874.193580322,34863119.54173756,90198882.29636504,0.02771132074466747,0.09844716609704356,0.30119135612292147,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.08515207601719335,0.40001016517331023,41832,33465,8367,0.5,0.3999928284566839,0.10000717154331612,0.04812105565117613,0.20735096369341102,0.6260308354248835,0.858139534883721,0.42685033249848864,554317650.0,494458475.0,159145450.0,15360874.193580322,64072021.14999981,60989980.68810278,0.02771132074466747,0.12958018598022777,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.11547320448209,0.16256682009957604,50198,8367,25099,0.5999952189711226,0.10000717154331612,0.2999976094855613,0.05737280369735846,0.1546551930201984,0.39905972349495994,0.7970401691331924,0.31891067161815934,664476475.0,117888200.0,425556900.0,22684651.884848636,10808398.459465623,106929825.68736866,0.0341391346997629,0.09168346331070984,0.2512703370274778,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.11547320448209,0.24170213662124707,50198,16733,16733,0.5999952189711226,0.20000239051443872,0.20000239051443872,0.05737280369735846,0.18508336819458554,0.49082651048825676,0.7970401691331924,0.31891067161815934,664476475.0,243971425.0,299473675.0,22684651.884848636,27539341.85046924,90198882.29636504,0.0341391346997629,0.11287937450244118,0.30119135612292147,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.11547320448209,0.40001016517331023,50198,25099,8367,0.5999952189711226,0.2999976094855613,0.10000717154331612,0.05737280369735846,0.24192198892386152,0.6260308354248835,0.7970401691331924,0.31891067161815934,664476475.0,384299650.0,159145450.0,22684651.884848636,56748243.458731495,60989980.68810278,0.0341391346997629,0.1476666540256581,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.16256682009957604,0.24170213662124707,58565,8366,16733,0.7000023905144387,0.09999521897112258,0.20000239051443872,0.07127123708699735,0.2155151804924695,0.49082651048825676,0.7058491895701198,0.21710280104787402,782364675.0,126083225.0,299473675.0,33493050.344314262,16730943.391003618,90198882.29636504,0.042810023783747986,0.1326976161262025,0.30119135612292147,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.16256682009957604,0.40001016517331023,58565,16732,8367,0.7000023905144387,0.19999043794224516,0.10000717154331612,0.07127123708699735,0.28556060243844134,0.6260308354248835,0.7058491895701198,0.21710280104787402,782364675.0,266411450.0,159145450.0,33493050.344314262,45939844.99926587,60989980.68810278,0.042810023783747986,0.17243945408226963,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.24170213662124707,0.40001016517331023,66931,8366,8367,0.7999976094855613,0.09999521897112258,0.10000717154331612,0.08930092184488503,0.3556060243844131,0.6260308354248835,0.5787878787878787,0.12263580620088091,908447900.0,140328225.0,159145450.0,50223993.73531787,29208901.608262256,60989980.68810278,0.055285497093799076,0.20814701823715262,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
