issue_year,dimension,segment,accounts,account_share_within_year,loan_amount,exposure_share_within_year,bad_accounts,bad_rate
2008,purpose,major_purchase,91,0.038027580442958626,638925.0,0.03025320501438261,14,0.15384615384615385
2008,purpose,medical,51,0.02131216046803176,312400.0,0.01479219195757425,10,0.19607843137254902
2008,purpose,moving,31,0.012954450480568324,162475.0,0.007693218272429182,2,0.06451612903225806
2008,purpose,other,339,0.1416631842875052,2545275.0,0.12051919457367094,79,0.23303834808259588
2008,purpose,renewable_energy,3,0.0012536564981195152,29500.0,0.0013968299063650462,0,0.0
2008,purpose,small_business,127,0.05307145842039281,1771600.0,0.0838855546480107,44,0.3464566929133858
2008,purpose,vacation,14,0.0058503969912244045,83150.0,0.003937166329296732,0,0.0
2008,purpose,wedding,57,0.02381947346427079,377175.0,0.01785929898078767,8,0.14035087719298245
2009,home_ownership_n,MORTGAGE,2048,0.3878053398977466,22038925.0,0.42441108645101655,267,0.13037109375
2009,home_ownership_n,OTHER,85,0.01609543647036546,890075.0,0.017140477485761602,18,0.21176470588235294
2009,home_ownership_n,OWN,472,0.0893770119295588,4608450.0,0.08874649155324896,53,0.11228813559322035
2009,home_ownership_n,RENT,2676,0.5067222117023291,24390800.0,0.4697019445099729,385,0.14387144992526157
2009,purpose,car,191,0.0361673925392918,1515075.0,0.02917631539672529,21,0.1099476439790576
2009,purpose,credit_card,626,0.11853815565233858,6364775.0,0.12256864038360622,58,0.0926517571884984
2009,purpose,debt_consolidation,2194,0.41545161901155087,24367150.0,0.469246508403422,290,0.13217866909753875
2009,purpose,educational,187,0.035409960234804014,1189025.0,0.022897459475333753,30,0.16042780748663102
2009,purpose,home_improvement,388,0.07347093353531528,4042600.0,0.07784972534217888,50,0.12886597938144329
2009,purpose,house,72,0.013633781480780155,694950.0,0.013382888889958741,14,0.19444444444444445
2009,purpose,major_purchase,258,0.04885438363946222,1900850.0,0.03660531598888851,25,0.09689922480620156
2009,purpose,medical,91,0.01723158492709714,626350.0,0.012061835320851366,18,0.1978021978021978
2009,purpose,moving,67,0.012686991100170422,355400.0,0.00684405886969039,7,0.1044776119402985
2009,purpose,other,659,0.12478697216436281,4861950.0,0.09362822740993583,102,0.15477996965098634
2009,purpose,renewable_energy,6,0.0011361484567316796,89350.0,0.0017206433877513686,0,0.0
2009,purpose,small_business,368,0.06968377201287634,4394425.0,0.08462493921901855,87,0.23641304347826086
2009,purpose,vacation,28,0.005302026131414505,179850.0,0.00346343271725891,4,0.14285714285714285
2009,purpose,wedding,146,0.027646279113804205,1346500.0,0.025930009195380164,17,0.11643835616438356
2010,home_ownership_n,MORTGAGE,5617,0.44803381989311636,66046875.0,0.5003833549696555,727,0.1294285205625779
2010,home_ownership_n,OTHER,3,0.00023929169657812874,35400.0,0.0002681969550554179,3,1.0
2010,home_ownership_n,OWN,963,0.07681263460157932,9003825.0,0.06821464544779232,147,0.1526479750778816
2010,home_ownership_n,RENT,5954,0.47491425380872615,56906450.0,0.4311338026274968,880,0.1477997984548203
2010,purpose,car,419,0.03342107362207865,2863850.0,0.021697057902131597,38,0.09069212410501193
2010,purpose,credit_card,1545,0.12323522373773631,18205750.0,0.13793013317797104,151,0.09773462783171522
2010,purpose,debt_consolidation,5729,0.4569673765653665,68689300.0,0.5204028560702858,817,0.1426077849537441
2010,purpose,educational,114,0.009093084469968891,822775.0,0.006233495754116426,26,0.22807017543859648
2010,purpose,home_improvement,955,0.07617452341070431,9843525.0,0.07457636813592888,131,0.13717277486910995
2010,purpose,house,104,0.00829544548137513,1189700.0,0.009013387498006516,20,0.19230769230769232
2010,purpose,major_purchase,873,0.06963388370423547,6611525.0,0.05009013766307265,100,0.1145475372279496
2010,purpose,medical,220,0.017548057749062772,1672375.0,0.012670222675446456,36,0.16363636363636364
2010,purpose,moving,213,0.01698971045704714,1506275.0,0.011411818318533887,31,0.14553990610328638
2010,purpose,other,1443,0.11509930605407992,10889425.0,0.0825003002063374,219,0.15176715176715178
2010,purpose,renewable_energy,39,0.0031107920555156735,322600.0,0.0024440773361829892,10,0.2564102564102564
2010,purpose,small_business,466,0.03716997686846933,5759675.0,0.04363636432510774,128,0.27467811158798283
2010,purpose,vacation,127,0.010130015155140783,584800.0,0.004430553088034135,26,0.2047244094488189
2010,purpose,wedding,290,0.02313153066921911,3030975.0,0.0229632278488445,24,0.08275862068965517
