window_id,dimension,category,share,reference_share,shift_pp,jsd
2016-02,term, 36 months,0.826667921332455,0.8094520940906483,1.7215827241806703,0.0002489926747303887
2016-02,term, 60 months,0.17333207866754494,0.1905479059093517,-1.7215827241806758,0.0002489926747303887
2016-02,application_type,Individual,0.9807095135033406,0.9814735131000192,-0.07639995966786106,3.933317171093173e-06
2016-02,application_type,Joint App,0.019290486496659452,0.018526486899980876,0.07639995966785759,3.933317171093173e-06
2016-03,purpose,car,0.008921384491548163,0.011510327022375215,-0.2588942530827053,0.0003627453122765858
2016-03,purpose,credit_card,0.2273276093372686,0.2133295085102314,1.3998100827037174,0.0003627453122765858
2016-03,purpose,debt_consolidation,0.5624496914408371,0.5690380569898642,-0.6588365549027086,0.0003627453122765858
2016-03,purpose,home_improvement,0.07653608800643949,0.07349636641805317,0.3039721588386321,0.0003627453122765858
2016-03,purpose,house,0.004829621679635095,0.0048407917383821,-0.0011170058747005107,0.0003627453122765858
2016-03,purpose,major_purchase,0.023074859136034343,0.025088449034232168,-0.20135898981978248,0.0003627453122765858
2016-03,purpose,medical,0.010933726858062785,0.012024287626697265,-0.10905607686344798,0.0003627453122765858
2016-03,purpose,moving,0.005969949020660048,0.007398642187798814,-0.14286931671387665,0.0003627453122765858
2016-03,purpose,other,0.06198014488865039,0.06467536813922356,-0.269522325057317,0.0003627453122765858
2016-03,purpose,renewable_energy,0.00033539039441910385,0.0006693440428380187,-0.033395364841891484,0.0003627453122765858
2016-03,purpose,small_business,0.011202039173598069,0.010386785236182826,0.08152539374152429,0.0003627453122765858
2016-03,purpose,vacation,0.006439495572846793,0.007542073054121247,-0.11025774812744539,0.0003627453122765858
2016-03,home_ownership,MORTGAGE,0.4887979608264019,0.4977409638554217,-0.8943003029019791,9.597786473218095e-05
