model,segment_dimension,segment,n,mean_observed_lgd,mean_predicted_lgd,mean_bias,mae
TWEEDIE_REGRESSOR,purpose,medical,489,0.6718758430750201,0.5877491084656834,-0.08412673460933678,0.17959221837864656
TWEEDIE_REGRESSOR,purpose,moving,298,0.6670450947655756,0.5848492208941298,-0.08219587387144574,0.1665516143345636
TWEEDIE_REGRESSOR,purpose,other,2289,0.6614209060743352,0.5928539477241924,-0.06856695835014281,0.16690859234057775
TWEEDIE_REGRESSOR,purpose,renewable_energy,28,0.6946955212204929,0.586904744016589,-0.10779077720390406,0.19829255532258716
TWEEDIE_REGRESSOR,purpose,small_business,611,0.6863302624401892,0.6112704241262078,-0.0750598383139815,0.15886909309659758
TWEEDIE_REGRESSOR,purpose,vacation,228,0.6469066105287529,0.5677694228304265,-0.07913718769832635,0.15384713739468758
TWEEDIE_REGRESSOR,fico_band,660-699,29596,0.6616989071395893,0.5955644834614848,-0.06613442367810453,0.15495169108746598
TWEEDIE_REGRESSOR,fico_band,700-739,7762,0.6593614549248645,0.5963754795250221,-0.06298597539984244,0.15526157910573035
TWEEDIE_REGRESSOR,fico_band,740+,1513,0.672571480234288,0.5916997106919103,-0.0808717695423778,0.16973147974722336
TWEEDIE_REGRESSOR,loan_size_band,10-20k,16567,0.6808615286461446,0.6081579033417813,-0.07270362530436321,0.15012817035704848
TWEEDIE_REGRESSOR,loan_size_band,20-30k,7730,0.7016370780456882,0.6289203283528644,-0.07271674969282381,0.1409199982281947
TWEEDIE_REGRESSOR,loan_size_band,30k+,3327,0.7042185849263647,0.6376942848530531,-0.0665243000733115,0.1417562805098832
TWEEDIE_REGRESSOR,loan_size_band,<=10k,11247,0.5932944187784027,0.5416661846127091,-0.051628234165693565,0.17780619057840513
TWEEDIE_REGRESSOR,issue_year,2015,18789,0.6207535814287537,0.5711883393106326,-0.04956524211812099,0.16530391055858304
TWEEDIE_REGRESSOR,issue_year,2016,14190,0.6650683574309499,0.6049321127529218,-0.060136244678027986,0.14611408657225414
TWEEDIE_REGRESSOR,issue_year,2017,5892,0.7838672920934364,0.6508130006118031,-0.13305429148163336,0.14742706913702777
