dimension,segment,accounts,good_accounts,bad_accounts,bad_rate,account_share,loan_amount,loan_amount_share,bad_associated_loan_amount,bad_associated_share,relative_bad_rate,primary_segment,materiality_flag,materiality_rule,materiality_rank,descriptive_concentration_index
addr_state,KS,11262,9375,1887,0.1675546084176878,0.008356576964430009,158090050.0,0.008141544179581251,28740175.0,0.0014801020335650258,0.838666669985619,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.006828041745630207
addr_state,UT,10045,8328,1717,0.17093081134892982,0.007453544273459372,146295875.0,0.007534151134767788,27502400.0,0.0014163573523097463,0.8555656911243388,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.006445961222652824
purpose,car,14647,12494,2153,0.146992558203045,0.01086829895205171,129434075.0,0.006665778396273094,22475400.0,0.0011574698221283406,0.7357467542372966,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.004904324819523021
fico_band,800+,15445,14455,990,0.06409841372612496,0.01146042720792235,237917625.0,0.012252617132062042,18735875.0,0.0009648864938407691,0.3208339281068372,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.003931055284068595
addr_state,RI,5879,4828,1051,0.1787718999829903,0.004362308291057008,80032450.0,0.004121623893946062,15326425.0,0.0007893018330536209,0.8948129535893407,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.003688082450126275
addr_state,NH,6463,5521,942,0.14575274640259941,0.004795645260265597,92548950.0,0.004766216249529027,14563800.0,0.0007500270960922932,0.729541082880908,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0034771505639259867
purpose,vacation,9083,7340,1743,0.1918969503468017,0.006739725498838375,56215325.0,0.002895056026973351,14273600.0,0.000735081967534775,0.960508205936988,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.002780725070555238
addr_state,WV,4888,4129,759,0.15527823240589197,0.0036269710710472285,68878050.0,0.003547178883670455,12185275.0,0.0006275344637619315,0.7772193156780709,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0027569359445540546
addr_state,DE,3804,3054,750,0.1971608832807571,0.0028226264227216974,53836725.0,0.0027725595321872977,11634800.0,0.0005991853264679969,0.986855945020015,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.002736116857260946
addr_state,AK,3194,2566,628,0.19661865998747652,0.0023699970541990276,52592300.0,0.002708472379860662,10913750.0,0.0005620516774452591,0.9841419366853075,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.002665521253374736
addr_state,MT,3831,3181,650,0.16966849386583138,0.0028426608373940125,51293700.0,0.0026415952470391834,9741900.0,0.000501702094743234,0.8492473713239326,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0022433678196498207
addr_state,WY,2926,2436,490,0.1674641148325359,0.002171136938192347,43946000.0,0.002263193037865936,7978300.0,0.00041087773663145216,0.8382137194256128,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0018970394540477578
addr_state,DC,3485,3024,461,0.13228120516499284,0.0025859235234450884,52769700.0,0.002717608375057436,7333800.0,0.00037768636738499977,0.6621115282060944,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0017993598342749598
dti_band,60–99.99,1184,830,354,0.2989864864864865,0.0008785461841489195,22804550.0,0.0011744208526752293,7199475.0,0.0003707687092406558,1.496527032949406,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0017575525540879725
addr_state,VT,2655,2284,371,0.13973634651600753,0.001970050776110964,35215925.0,0.001813599332863263,5357350.0,0.0002759003600193663,0.6994269958627127,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.001268480333083172
addr_state,ID,1689,1371,318,0.1882770870337478,0.0012532639400570313,22928600.0,0.0011808093543897715,4531450.0,0.0002333669979392344,0.9423895833623459,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0011127824355137374
addr_state,ME,2029,1748,281,0.1384918679152292,0.0015055491618565522,28299475.0,0.0014574062439189257,4410900.0,0.00022715874415698485,0.693197965614966,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0010102710433591484
purpose,wedding,2350,2058,292,0.12425531914893617,0.001743736091849629,24594750.0,0.001266615095072435,3409350.0,0.00017557951084622557,0.621939293241414,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0007877576970382566
dti_band,100+,535,392,143,0.2672897196261682,0.00039697821665512833,10732000.0,0.0005526916598183504,2999025.0,0.00015444801575537905,1.3378741485967043,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0007394318838159748
purpose,renewable_energy,936,714,222,0.23717948717948717,0.0006945263753069161,9364050.0,0.0004822430429670167,2386400.0,0.00012289819017802006,1.1871623978604877,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0005725008072402617
home_ownership_n,OTHER,517,415,102,0.19729206963249515,0.0003836219402069184,6611425.0,0.00034048448164503695,1334625.0,6.87323990388619e-05,0.9875125764418464,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.000336232707707757
purpose,educational,423,335,88,0.20803782505910165,0.00031387249653293324,2798600.0,0.00014412624666116616,645725.0,3.325445602275478e-05,1.0412986644833413,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.00015007846816526894
fico_band,600–639,17,9,8,0.47058823529411764,1.261426108997604e-05,49575.0,2.5530832124016696e-06,31450.0,1.619656420172113e-06,2.3554509897136544,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,6.013662379472829e-06
addr_state,IA,14,11,3,0.21428571428571427,1.0388215015274387e-05,114075.0,5.874795107508229e-06,29400.0,1.5140826312578737e-06,1.0725714328160392,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,6.301137405960759e-06
experience_c,0,25,22,3,0.12,1.8550383955847117e-05,88000.0,4.531948011928329e-06,10375.0,5.343063707245047e-07,0.6006400023769819,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,2.7220692646569897e-06
fico_band,<600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0
